Designator,Qty,Value,Footprint,Manufacturer,MPN,Bron,Note
R_CFG1,1,24k 1%,0805,Yageo,RC0805FR-0724KL,Ali (0603-set),CH224K -> 12V request; 0603 uit assortiment op 0805-land
R_VDD,1,1k 1%,0805,Yageo,RC0805FR-071KL,Ali (0603-set),"CH224K VDD-serieweerstand (shunt-reg, VERPLICHT per datasheet)"
R_VSNS,1,10k 1%,0805,Yageo,RC0805FR-0710KL,Ali (0603-set),CH224K VBUS-sense serieweerstand (datasheet-eis)
R_BLD,1,330 1%,0805,Yageo,RC0805FR-07330RL,Ali (0603-set),B0505S minimum-belasting (ongeregelde uitgang)
"R_SDA,R_SCL,R_SDA2,R_SCL2",4,4.7k 1%,0805,Yageo,RC0805FR-074K7L,Ali (0603-set),I2C pull-ups (iso-kant naar 5V_iso; ESP-kant naar 3V3)
"R_LED,R_LED2",2,2.2k 1%,0805,Yageo,RC0805FR-072K2L,Ali (0603-set),LED-serieweerstand
R_ADDR,1,0R,0805,Yageo,RC0805JR-070RL,Ali (0603-set),ADS1115 adres 0x48 (of soldeerbrug)
"C_ADS,C_ISO1,C_ISO2,C_VCC,C_VM2",5,100nF 50V X7R,0805,Yageo,CC0805KRX7R9BB104,TME,ontkoppeling
C_VDD,1,1uF 25V X7R,0805,Yageo,CC0805KKX7R8BB105,TME,CH224K VDD-ontkoppeling (1uF per datasheet)
"C_DC_IN,C_DC_OUT,C_VM",3,10uF 25V X5R,0805,Murata,GRM21BR61E106KA73L,TME,ontkoppeling
C_IN,1,100uF 25V alu-elco,SMD elco D8 (6.3x7.7),Panasonic,EEE-1EA101XP,TME,"buck-ingang (elektrolyt per LM2596-datasheet). 25V-keuze; de 16V EEEHC1C101XP is te krap op de 12V-rail. LET OP: variant *zonder* X is O8 en past NIET"
C_OUT,1,220uF 16V alu-elco,SMD elco D8 (6.3x7.7),Samwha,SC1C227M6L07KVR,TME,"LM2596-uitgang (ESR nodig!); O6.3x7.7 geverifieerd = D8-land. (Panasonic-alt: EEE-1CA221XP)"
L1,1,33uH 1.5A,6045 (6x6x4.5),FerroCore,DJNR6045-330,TME,"buck-inductor; Ioper/Isat 1.5A, 188.5mOhm. 6x6-terminals vallen ~90% op het CD54-land (0.15mm overhang, prima handsoldeer). NIET de Ali 1210/70mA gebruiken - die verzadigt"
LED1,1,groen 0805,0805,Wurth,150080GS75000,Ali (assort.),power-LED; check 0805 groen in assortiment
LED2,1,blauw 0805,0805,Wurth,150080BS75000,Ali (assort.),power-LED; check 0805 blauw in assortiment
D1,1,SS34,SMA / DO-214AC,Vishay,SS34-E3/57T,Ali,buck-freewheel schottky
U1,1,CH224K,ESSOP-10,WCH,CH224K,Ali,"USB-PD sink; ESSOP-10 MET backplane (pad11=GND) - klopt. besteld"
U2,1,LM2596S-5.0,TO-263-5,Texas Instruments,LM2596SX-5.0/NOPB,Ali,5V buck
U3,1,ADS1115,VSSOP-10,Texas Instruments,ADS1115IDGSR,Ali,16-bit ADC
U4,1,TB6612FNG,SSOP-24,Toshiba,"TB6612FNG(O,C,8,EL)",Ali (module),"chip van de driver-module afsolderen. VERIFIEER: TB6612FNG (24-pins), NIET DRV8833 (16-pins)! TME-alt voor losse chip: TB6612FNG(O,C,8,EL)"
U5,1,B0505S-1WR3,SIP,MORNSUN,B0505S-1WR3,Ali,geisoleerde 5V/5V DC-DC 1W
U6,1,ADUM1250ARZ,SOIC-8,Analog Devices,ADUM1250ARZ,TME,geisoleerde I2C
J1,1,USB-C 16P,TYPE-C-31-M-12,HRO,TYPE-C-31-M-12,Ali,USB-C 2.0 16-pins
"J_ESP,J_PROBE,J_M1,J_M2,J_12V",1,pin header 1x40 2.54mm,THT 2.54mm,Wurth,61304011121,TME,knippen op 11/4/2/2/2 pins (J_ESP is 11-pins: V33 erbij!)
