Designator,Comment,Footprint,LCSC Part #
J1,USB-C 16P,TYPE-C-31-M-12,C2765186
U1,CH224K,ESSOP-10,C970725
U2,LM2596S-5.0,TO-263-5,C347421
U3,ADS1115,VSSOP-10,C468683
U4,TB6612FNG,SSOP-24,C141517
U6,ADUM1250,SOIC-8,C13839
R_CC1,5.1k,R0402,C25905
R_CC2,5.1k,R0402,C25905
R_CFG2,0R,R0402,C106231
R_SDA,4.7k,R0402,C25900
R_SCL,4.7k,R0402,C25900
R_ADDR,0R,R0402,C106231
R_LED,2.2k,R0402,C25879
R_LED2,2.2k,R0402,C25879
C_VDD,100nF,C0402,C1525
C_ADS,100nF,C0402,C1525
C_ISO1,100nF,C0402,C1525
C_ISO2,100nF,C0402,C1525
C_VCC,100nF,C0402,C1525
C_IN,100uF,C1210,C15008
C_OUT,100uF,C1210,C15008
C_DC_IN,10uF,C0603,C19702
C_DC_OUT,10uF,C0603,C19702
C_VM,10uF,C0603,C19702
D1,SS34,SMA,C8678
L1,33uH,1210,C394994
LED1,LED green,0402,C434449
LED2,LED blue,0402,C434447
