Designator,Mid X,Mid Y,Layer,Rotation
C_ADS,99.900000,-101.600000,Top,0.000000
C_DC_IN,110.500000,-89.400000,Top,0.000000
C_DC_OUT,93.000000,-98.000000,Top,0.000000
C_ISO1,82.900000,-103.200000,Top,0.000000
C_ISO2,93.000000,-95.400000,Top,0.000000
C_VCC,116.600000,-99.900000,Top,0.000000
C_VDD,80.000000,-90.000000,Top,0.000000
C_VM,117.000000,-95.000000,Top,0.000000
D1,96.500000,-90.000000,Top,0.000000
R_CC1,80.000000,-86.000000,Top,0.000000
R_CC2,80.000000,-88.000000,Top,0.000000
R_LED,109.700000,-91.700000,Top,0.000000
R_LED2,78.000000,-110.000000,Top,0.000000
R_SCL,96.800000,-103.800000,Top,0.000000
R_SDA,96.800000,-101.600000,Top,0.000000
