Designator,Mid X,Mid Y,Layer,Rotation
C_ADS,99.900000,-101.600000,Top,0.000000
C_DC_IN,110.500000,-89.400000,Top,0.000000
C_DC_OUT,93.000000,-98.000000,Top,0.000000
C_IN,117.100000,-84.500000,Top,0.000000
C_ISO1,82.900000,-103.200000,Top,0.000000
C_ISO2,93.000000,-95.400000,Top,0.000000
C_OUT,117.000000,-80.000000,Top,0.000000
C_VCC,116.600000,-99.900000,Top,0.000000
C_VDD,80.000000,-90.000000,Top,0.000000
C_VM,117.000000,-95.000000,Top,0.000000
D1,96.500000,-90.000000,Top,0.000000
L1,104.100000,-90.200000,Top,0.000000
LED1,112.300000,-91.800000,Top,0.000000
LED2,78.000000,-112.000000,Top,0.000000
R_ADDR,99.900000,-103.600000,Top,0.000000
R_CC1,80.000000,-86.000000,Top,0.000000
R_CC2,80.000000,-88.000000,Top,0.000000
R_CFG2,79.700000,-91.700000,Top,0.000000
R_LED,109.700000,-91.700000,Top,0.000000
R_LED2,78.000000,-110.000000,Top,0.000000
R_SCL,96.800000,-103.800000,Top,0.000000
R_SDA,96.800000,-101.600000,Top,0.000000
U1,87.100000,-93.100000,Top,0.000000
U2,105.000000,-81.700000,Top,0.000000
U3,98.400000,-109.700000,Top,0.000000
U4,110.800000,-100.700000,Top,0.000000
U6,86.200000,-107.500000,Top,0.000000
J1,82.500000,-78.575000,Top,180.000000
