Ref,Val,Package,PosX,PosY,Rot,Side
"12V","J_12V","pin_header_pinrow2_nopinlabels",122.000000,-119.500000,90.000000,top
"C_ADS","100nF","capacitor_0402",99.900000,-101.600000,0.000000,top
"C_DC_IN","10uF","capacitor_0603",110.500000,-89.400000,0.000000,top
"C_DC_OUT","10uF","capacitor_0603",93.000000,-98.000000,0.000000,top
"C_IN","220uF","capacitor_1210",117.100000,-84.500000,0.000000,top
"C_ISO1","100nF","capacitor_0402",82.900000,-103.200000,0.000000,top
"C_ISO2","100nF","capacitor_0402",93.000000,-95.400000,0.000000,top
"C_OUT","220uF","capacitor_1210",117.000000,-80.000000,0.000000,top
"C_VCC","100nF","capacitor_0402",116.600000,-99.900000,0.000000,top
"C_VDD","100nF","capacitor_0402",80.000000,-90.000000,0.000000,top
"C_VM","10uF","capacitor_0603",117.000000,-95.000000,0.000000,top
"D1","D","SS34",96.500000,-90.000000,0.000000,top
"ESP","J_ESP","pin_header_pinrow10_nopinlabels",122.000000,-89.000000,90.000000,top
"L1","33H","inductor_1210",104.100000,-90.200000,0.000000,top
"LED1","LED","led_0402_color(green)",112.300000,-91.800000,0.000000,top
"LED2","LED","led_0402_color(cyan)",78.000000,-112.000000,0.000000,top
"MOTOR 1","J_M1","pin_header_pinrow2_nopinlabels",110.200000,-113.600000,90.000000,top
"ORP pump","J_M2","pin_header_pinrow2_nopinlabels",114.100000,-113.600000,90.000000,top
"PROBES","J_PROBE","pin_header_pinrow4_nopinlabels",122.000000,-110.000000,90.000000,top
"R_ADDR","0Ω","resistor_res0402",99.900000,-103.600000,0.000000,top
"R_CC1","5.1kΩ","resistor_res0402",80.000000,-86.000000,0.000000,top
"R_CC2","5.1kΩ","resistor_res0402",80.000000,-88.000000,0.000000,top
"R_CFG2","0Ω","resistor_res0402",79.700000,-91.700000,0.000000,top
"R_LED","2.2kΩ","resistor_res0402",109.700000,-91.700000,0.000000,top
"R_LED2","2.2kΩ","resistor_res0402",78.000000,-110.000000,0.000000,top
"R_SCL","4.7kΩ","resistor_res0402",96.800000,-103.800000,0.000000,top
"R_SDA","4.7kΩ","resistor_res0402",96.800000,-101.600000,0.000000,top
"U1","CH224K","CH224K",87.100000,-93.100000,0.000000,top
"U2","LM2596S_5_0_UMW_","LM2596S_5_0_UMW",105.000000,-81.700000,0.000000,top
"U3","ADS1115IDGST","ADS1115IDGST",98.400000,-109.700000,0.000000,top
"U4","TB6612FNG_C_8_EL","TB6612FNG_C_8_EL",110.800000,-100.700000,0.000000,top
"U5","B0505S_1WR3","B0505S_1WR3",87.000000,-115.800000,180.000000,top
"U6","ADUM1250ARZ_RL7","ADUM1250ARZ_RL7",86.200000,-107.500000,0.000000,top
"USB-C","TYPE_C_16PIN_2MD_073_","TYPE_C_16PIN_2MD_073",82.500000,-78.575000,180.000000,top
