Designator,Comment,Footprint,LCSC Part #,Note
J1,USB-C 16P,TYPE-C-31-M-12,C2765186,hand-solder
U1,CH224K,ESSOP-10,C970725,hand-solder
R_VDD,1k (CH224K VDD-serie),R0805,,
R_VSNS,10k (VBUS-sense),R0805,,
R_SDA2,4.7k (I2C ESP-kant),R0805,,
R_SCL2,4.7k (I2C ESP-kant),R0805,,
R_BLD,330 (B0505S min-load),R0805,,
C_VM2,100nF,C0805,,
U2,LM2596S-5.0,TO-263-5,C347421,hand-solder
U3,ADS1115,VSSOP-10,C468683,hand-solder
U4,TB6612FNG,SSOP-24,C141517,hand-solder
U6,ADUM1250,SOIC-8,C13839,hand-solder
R_CFG1,24k (12V PD),R0805,TBD,hand-solder
R_ADDR,0R,R0805,TBD,hand-solder
C_IN,100uF 25V elco SMD,SMD D8 6.3x7.7 (V-chip),,hand-solder
C_OUT,220uF 16V elco SMD,SMD D8 6.3x7.7 (V-chip),,hand-solder
L1,33uH power inductor 1.5A DJNR6045-330,6045 (6x6x4.5mm),,hand-solder
LED1,green LED,0805,TBD,hand-solder
LED2,blue LED,0805,TBD,hand-solder
